OBJECTID,Input_FID,Americ_ESPop,Asian_Pop,Black_Pop,Hawn_PiPop,Hispanic,Multi_Race,WhitePop,Other_Pop,TotPop,Shape__Area,Shape__Length
534,1064,58,1,272,59,20,47,134,58,449,1461417.81542969,4499.99991695314
535,1063,36,2,162,56,26,44,216,45,416,1461417.81445313,4499.99991696322
536,1038,54,2,331,62,44,56,103,52,499,1461417.81542969,4499.99991696756
537,1139,30,1,209,34,63,33,285,21,624,1461417.81445313,4499.99991697346
538,1115,34,5,288,26,67,33,212,18,536,1461417.81494141,4499.99991697728
539,1065,49,1,510,57,44,47,31,53,606,1461417.81494141,4499.99991694256
540,1039,51,2,473,44,46,51,42,49,530,1461417.81494141,4499.99991698377
541,1140,33,7,192,31,39,29,311,25,532,1461417.81542969,4499.99991697863
542,1116,42,2,131,46,18,32,365,44,485,1461417.81542969,4499.99991698515
543,1066,38,1,458,43,34,42,192,38,703,1461417.81445313,4499.99991694984
544,1040,35,2,452,38,24,43,113,46,572,1461417.81445313,4499.99991698863
545,1142,7,0,8,8,1,7,152,7,183,1461417.81494141,4499.9999169749
546,1141,21,4,68,28,7,28,331,25,449,1461417.81445313,4499.99991698711
547,1091,42,4,213,48,18,46,255,43,538,1461417.81445313,4499.99991696311
548,1067,3,0,19,1,3,2,21,2,49,1461417.81494141,4499.99991697335
549,1041,32,3,171,22,11,28,283,31,509,1461417.81542969,4499.99991696645
550,1246,1,0,6,4,0,3,67,4,63,1461418.18359375,4500.00048523341
551,1245,5,0,2,2,2,6,90,1,83,1461418.18457031,4500.00048523282
552,1221,9,2,2,5,2,6,65,13,79,1461417.81591797,4499.99991698073
553,1220,4,0,5,4,2,4,60,3,83,1461417.81494141,4499.99991696473
554,1170,19,1,1,16,0,9,115,12,100,1461417.81494141,4499.99991696914
555,1244,3,0,0,1,1,1,57,3,71,1461418.18457031,4500.0004852291
556,1219,5,0,1,3,3,0,70,5,63,1461417.81591797,4499.99991698429
557,1243,1,1,3,5,1,4,73,1,62,1461418.18408203,4500.0004852192
558,1193,1,0,0,2,0,0,58,1,56,1461417.81445313,4499.99991699056
559,1168,7,0,1,6,1,3,49,6,49,1461417.81445313,4499.99991698228
560,1242,5,1,3,2,4,2,74,5,88,1461418.18359375,4500.00048523079
561,1241,10,6,10,14,6,16,149,7,145,1461418.18359375,4500.00048521785
562,1192,14,3,13,16,8,12,266,8,266,1461417.81494141,4499.99991698794
563,1191,25,4,9,14,8,20,292,18,337,1461417.81542969,4499.99991698767
564,1167,19,3,18,19,14,22,322,25,394,1461417.81542969,4499.99991698411
565,1240,32,5,60,24,57,25,234,14,388,1461418.18408203,4500.00048521834
566,1216,8,2,10,11,6,12,208,16,216,1461417.81591797,4499.99991698777
567,1166,17,4,15,16,9,16,370,10,363,1461417.81494141,4499.99991696745
568,1239,34,8,71,33,80,30,383,25,468,1461418.18408203,4500.00048523265
569,1215,44,7,114,37,102,40,354,8,538,1461417.81494141,4499.99991696949
570,1165,33,6,197,45,131,46,272,16,592,1461417.81494141,4499.99991700749
571,1238,31,4,56,38,60,24,369,29,450,1461418.18457031,4500.00048522099
572,1214,32,6,86,22,91,38,379,13,580,1461417.81445313,4499.99991695863
573,1213,38,15,88,36,22,42,311,32,404,1461417.81542969,4499.99991698008
574,1164,26,11,126,22,54,29,452,15,645,1461417.81494141,4499.99991698794
575,1163,27,9,60,35,26,38,267,29,421,1461417.81396484,4499.99991696956
576,1237,24,8,31,14,14,20,199,32,251,1461418.18408203,4500.0004852292
577,1212,24,0,54,25,10,22,112,27,190,1461417.81494141,4499.9999169948
578,1162,24,0,115,28,17,30,121,38,255,1461417.81494141,4499.99991697718
579,1236,17,1,24,15,6,15,127,19,168,1461418.18408203,4500.00048522378
580,1235,13,0,8,19,42,20,62,19,116,1461418.18359375,4500.00048522741
581,1186,27,1,100,31,25,27,84,15,207,1461417.81494141,4499.9999169787
582,1185,19,1,41,31,54,19,170,18,274,1461417.81494141,4499.99991698735
583,1161,15,0,37,12,58,13,68,4,154,1461417.81542969,4499.99991697363
584,1234,60,8,31,48,153,51,465,14,596,1461418.18408203,4500.00048523003
585,1184,44,3,27,49,124,27,439,10,538,1461417.81542969,4499.99991697811
586,1160,25,5,43,27,93,23,235,16,326,1461417.81445313,4499.99991696373
587,1233,24,3,3,23,22,16,197,21,241,1461418.18408203,4500.00048523572
588,1209,9,0,3,11,26,10,112,4,127,1461417.81494141,4499.99991697346
589,1159,5,0,0,9,9,2,45,7,67,1461417.81542969,4499.99991698507
590,1232,8,1,0,4,3,6,72,6,100,1461418.18359375,4500.00048522461
591,1208,3,0,1,3,8,4,58,4,50,1461417.81445313,4499.99991698625
592,1207,13,1,2,9,1,13,139,11,131,1461417.81542969,4499.99991697649
593,1158,2,0,0,1,8,3,46,1,51,1461417.81591797,4499.99991698532
594,1157,5,1,2,14,4,6,109,11,120,1461417.81445313,4499.99991698584
595,1231,10,0,1,16,0,8,131,5,132,1461418.18457031,4500.00048524638
596,1206,0,0,0,1,0,0,21,0,17,1461417.81542969,4499.99991699235
597,1230,0,0,0,2,1,2,53,3,61,1461418.18457031,4500.00048521334
598,1229,2,1,0,1,1,3,46,2,72,1461418.18408203,4500.00048521089
599,1228,2,0,1,2,1,1,39,1,63,1461418.18359375,4500.00048521996
600,1327,2,2,0,0,0,3,31,2,31,1461417.81445313,4499.99991697346
601,1303,2,1,0,3,2,3,90,2,84,1461417.81591797,4499.99991697287
602,1329,8,0,1,10,0,6,107,6,124,1461417.81542969,4499.99991695545
603,1328,6,3,0,5,1,3,111,2,104,1461417.81445313,4499.99991699301
604,1279,7,0,1,2,3,9,130,2,105,1461417.81494141,4499.99991699049
605,1278,3,2,1,4,1,4,102,3,90,1461417.81542969,4499.99991697211
606,1254,3,1,0,7,1,4,99,4,112,1461418.18408203,4500.00048523334
607,1330,15,0,2,13,2,16,135,17,164,1461417.81494141,4499.99991697252
608,1280,5,0,1,3,2,3,103,3,108,1461417.81494141,4499.9999169877
609,1255,7,2,1,4,1,7,99,4,110,1461418.18408203,4500.00048523706
610,1331,10,1,3,10,2,13,138,12,155,1461417.81494141,4499.99991698515
611,1306,8,1,1,3,0,5,92,6,113,1461417.81494141,4499.99991696839
612,1256,2,0,3,6,3,7,109,5,127,1461418.18359375,4500.00048522089
613,1332,12,2,1,8,2,11,157,16,150,1461417.81494141,4499.99991697169
614,1308,9,1,1,5,1,6,133,8,154,1461417.81591797,4499.9999169887
615,1307,6,2,2,7,1,8,138,11,125,1461417.81542969,4499.99991700752
616,1258,19,3,2,24,24,15,213,17,191,1461418.18359375,4500.00048521827
617,1257,9,0,3,5,1,7,125,11,161,1461418.18359375,4500.00048520472
618,1333,16,5,12,12,46,27,245,14,272,1461417.81494141,4499.99991697515
619,1309,44,6,19,47,115,40,389,21,511,1461417.81445313,4499.99991699394
620,1259,39,6,16,40,111,47,336,20,476,1461418.18408203,4500.00048521861
621,1334,43,5,14,39,113,43,314,10,469,1461417.81494141,4499.99991696128
622,1284,76,3,40,74,224,70,469,7,702,1461417.81494141,4499.99991699404
623,1260,58,6,35,73,209,58,412,9,590,1461418.18457031,4500.00048522596
624,1336,16,1,14,9,16,17,93,14,107,1461417.81494141,4499.99991697956
625,1335,19,0,5,21,44,18,62,17,114,1461417.81542969,4499.99991698439
626,1286,21,2,20,22,10,19,108,15,110,1461417.81445313,4499.99991697694
627,1285,31,1,22,32,108,35,230,9,369,1461417.81542969,4499.99991697811
628,1261,24,0,5,23,28,20,57,18,67,1461418.18359375,4500.00048522934
629,1337,23,2,30,18,28,18,149,20,232,1461417.81542969,4499.99991698939
630,1312,22,1,12,18,3,18,114,17,137,1461417.81494141,4499.99991699608
631,1262,12,3,14,16,6,22,116,20,157,1461418.18408203,4500.00048521531
632,1338,31,7,74,39,48,30,248,32,349,1461417.81445313,4499.99991697101
633,1314,32,4,48,37,35,36,301,30,378,1461417.81591797,4499.99991698618
634,1313,42,5,38,30,25,30,229,33,317,1461417.81445313,4499.99991697829
635,1264,35,3,49,37,40,44,451,44,570,1461418.18310547,4500.00048523782
636,1263,39,6,27,36,19,35,248,28,306,1461418.18457031,4500.00048522893
637,1339,35,8,37,25,29,31,202,32,287,1461417.81494141,4499.99991698853
638,1315,29,6,49,34,39,34,223,30,315,1461417.81445313,4499.99991697008
639,1265,20,4,57,34,26,33,285,32,392,1461418.18457031,4500.0004852362
640,1340,22,7,22,22,26,20,199,32,236,1461417.81494141,4499.99991697618
641,1316,7,2,9,6,7,8,138,4,159,1461417.81445313,4499.99991697559
642,1266,14,0,9,8,5,8,167,9,175,1461418.18359375,4500.0004852263
643,1342,4,1,4,7,3,5,61,2,93,1461417.81445313,4499.99991698576
644,1341,6,3,6,7,5,8,165,8,180,1461417.81494141,4499.99991698456
645,1292,5,0,7,6,2,4,69,3,90,1461417.81542969,4499.99991697439
646,1291,7,2,11,7,5,5,131,9,176,1461417.81494141,4499.99991698346
647,1267,12,1,6,11,3,7,152,6,151,1461418.18408203,4500.00048522986
648,1343,3,0,2,4,1,4,52,5,56,1461417.81445313,4499.99991697108
649,1293,5,1,5,2,0,2,48,2,67,1461417.81542969,4499.99991697338
650,1268,3,1,5,3,0,4,75,4,57,1461418.18359375,4500.00048524072
651,1344,2,0,3,2,1,3,77,2,73,1461417.81542969,4499.99991697687
652,1319,2,2,2,3,0,5,64,2,62,1461417.81494141,4499.99991698694
653,1269,3,0,4,4,1,1,50,3,72,1461418.18359375,4500.00048522927
654,1345,3,0,1,3,1,4,54,1,76,1461417.81445313,4499.99991698718
655,1321,3,1,3,1,0,2,55,4,65,1461417.81542969,4499.99991697297
656,1320,3,0,1,2,5,4,71,2,60,1461417.81542969,4499.99991698515
657,1271,2,1,2,3,3,3,65,3,57,1461418.18310547,4500.00048522182
658,1270,7,0,5,3,2,6,58,4,67,1461418.18359375,4500.00048524503
659,1346,2,2,2,4,0,3,38,1,48,1461417.81542969,4499.99991698446
660,1322,1,0,3,2,1,2,58,5,51,1461417.81494141,4499.99991698018
661,1347,3,0,1,0,1,4,23,0,48,1461417.81494141,4499.99991697532
662,1297,0,0,1,1,1,0,33,0,44,1461417.81494141,4499.99991697738
663,1397,4,0,0,3,1,5,42,0,45,1461417.81396484,4499.99991695491
664,1446,1,0,1,2,1,0,21,1,31,1461417.81494141,4499.99991696856
665,1422,2,0,1,3,0,3,27,0,36,1461417.81494141,4499.99991698159
666,1372,3,1,2,4,1,1,32,2,35,1461417.81494141,4499.99991697411
667,1445,1,1,2,5,1,2,33,2,34,1461417.81494141,4499.99991699318
668,1421,6,1,2,3,0,3,39,2,32,1461417.81396484,4499.99991697507
669,1420,3,1,0,2,1,2,45,3,33,1461417.81591797,4499.99991698235
670,1371,1,1,3,0,0,1,40,1,45,1461417.81542969,4499.9999169727
671,1370,3,0,3,3,2,2,74,0,61,1461417.81445313,4499.99991697294
672,1444,6,2,4,10,2,3,100,5,108,1461417.81445313,4499.99991697414
673,1419,12,4,52,10,6,10,134,11,202,1461417.81591797,4499.99991698252
674,1369,2,0,1,5,1,7,70,4,76,1461417.81396484,4499.99991697591
675,1443,15,6,97,15,15,14,165,12,314,1461417.81542969,4499.99991697463
676,1393,6,1,19,0,2,7,72,7,86,1461417.81494141,4499.999916986
677,1368,4,0,3,5,2,1,73,3,69,1461417.81445313,4499.99991698083
678,1442,11,4,96,9,9,18,182,19,277,1461417.81494141,4499.9999169766
679,1441,17,8,114,20,24,14,256,18,355,1461417.81445313,4499.99991696569
680,1392,4,1,28,3,1,5,121,10,154,1461417.81542969,4499.9999169698
681,1391,16,7,111,18,27,18,256,14,411,1461417.81494141,4499.99991698529
682,1367,10,0,18,7,11,8,156,12,184,1461417.81494141,4499.99991697515
683,1440,38,4,83,39,14,31,251,41,362,1461417.81494141,4499.9999169589
684,1416,19,8,113,18,28,13,235,16,385,1461417.81494141,4499.99991699346
685,1366,19,8,77,13,12,13,220,16,309,1461417.81445313,4499.99991698184
686,1439,23,11,62,28,11,24,189,27,258,1461417.81445313,4499.99991698066
687,1415,37,2,32,47,19,52,248,44,332,1461417.81494141,4499.99991699073
688,1365,35,4,16,35,28,24,236,30,304,1461417.81542969,4499.99991697328
689,1438,21,3,84,19,58,19,201,9,356,1461417.81542969,4499.99991698245
690,1414,29,8,45,27,20,29,185,28,269,1461417.81542969,4499.99991697025
691,1413,38,7,121,20,80,20,242,19,471,1461417.81494141,4499.99991697184
692,1364,29,4,32,40,23,40,208,23,267,1461417.81445313,4499.99991698166
693,1363,36,11,142,35,71,28,278,24,516,1461417.81542969,4499.99991698152
694,1437,11,2,32,11,26,16,84,19,142,1461417.81445313,4499.99991696263
695,1412,11,1,5,6,10,10,57,9,74,1461417.81494141,4499.9999169959
696,1362,18,1,16,11,10,9,67,10,89,1461417.81494141,4499.99991697108
697,1436,19,1,20,24,34,15,108,13,161,1461417.81542969,4499.99991697252
698,1435,30,0,21,24,141,29,239,4,400,1461417.81542969,4499.99991697397
699,1386,12,1,9,16,42,20,88,13,132,1461417.81542969,4499.99991697083
700,1385,27,0,8,27,95,31,153,11,249,1461417.81494141,4499.99991698583
701,1361,27,3,16,22,75,25,126,11,214,1461417.81445313,4499.99991697652
702,1434,52,11,35,51,74,60,420,28,548,1461417.81445313,4499.99991698338
703,1384,34,10,21,45,119,35,421,21,545,1461417.81494141,4499.99991697429
704,1360,45,7,20,33,132,36,277,8,398,1461417.81494141,4499.99991696584
705,1433,39,1,6,31,29,33,288,32,319,1461417.81542969,4499.99991698922
706,1409,45,9,17,46,76,44,397,25,468,1461417.81494141,4499.99991697414
707,1359,32,8,19,34,151,31,439,15,540,1461417.81494141,4499.99991698615
708,1432,12,2,2,13,8,8,198,14,172,1461417.81494141,4499.99991697897
709,1408,11,1,1,9,5,8,168,8,168,1461417.81494141,4499.99991698497
710,1407,9,1,0,14,6,10,164,11,179,1461417.81494141,4499.99991697922
711,1358,9,3,5,9,3,12,184,9,192,1461417.81445313,4499.99991698277
712,1357,6,0,2,6,7,9,165,11,170,1461417.81542969,4499.99991698277
713,1431,13,0,0,18,2,15,145,8,151,1461417.81542969,4499.99991697525
714,1406,21,1,0,13,2,18,139,24,142,1461417.81542969,4499.99991699659
715,1356,22,0,3,28,6,31,173,29,189,1461417.81494141,4499.99991696897
716,1430,28,1,1,20,1,19,142,22,155,1461417.81494141,4499.99991698846
717,1380,32,0,2,30,1,27,186,28,184,1461417.81494141,4499.99991697439
718,1355,11,2,1,19,0,9,150,11,170,1461417.81494141,4499.99991698811
719,1429,19,0,0,10,0,9,139,10,133,1461417.81542969,4499.99991696076
720,1428,1,1,1,4,2,3,114,5,111,1461417.81494141,4499.99991700108
721,1379,12,0,3,12,2,8,136,13,141,1461417.81542969,4499.99991698801
722,1378,5,1,0,1,1,5,105,1,107,1461417.81542969,4499.99991695594
723,1354,8,0,0,4,2,7,140,5,131,1461417.81542969,4499.99991697101
724,1427,3,2,1,10,2,3,112,4,83,1461417.81445313,4499.99991697745
725,1403,5,2,2,6,1,5,115,3,109,1461417.81494141,4499.99991698625
726,1353,4,0,1,3,1,1,111,6,106,1461417.81396484,4499.99991697201
727,1402,3,0,1,1,1,9,86,4,75,1461417.81494141,4499.99991698183
728,1352,6,1,0,7,3,6,53,2,75,1461417.81445313,4499.99991697008
729,1452,7,1,0,6,3,7,77,8,78,1461417.81494141,4499.99991697263
730,1453,3,2,3,4,2,2,90,5,126,1461417.81542969,4499.99991697525
731,1529,6,0,1,6,0,8,137,14,122,1461417.81494141,4499.99991696405
732,1528,5,0,3,1,3,5,111,10,107,1461417.81494141,4499.99991696904
733,1479,14,0,3,7,2,12,151,8,149,1461417.81494141,4499.99991699997
734,1478,2,1,0,4,3,0,103,1,107,1461417.81494141,4499.9999169738
735,1454,7,1,0,5,2,12,140,9,140,1461417.81542969,4499.9999169826
736,1530,10,3,1,14,2,8,114,10,120,1461417.81494141,4499.9999169677
737,1480,23,3,0,16,1,24,131,13,144,1461417.81494141,4499.9999169859
738,1455,6,0,0,16,2,12,129,6,151,1461417.81494141,4499.99991697897
739,1531,12,1,0,9,3,9,146,18,175,1461417.81494141,4499.99991699411
740,1506,14,0,1,18,3,15,137,16,125,1461417.81494141,4499.99991697108
741,1456,13,2,1,20,1,16,132,22,140,1461417.81494141,4499.99991697473
742,1532,10,3,2,16,3,14,191,21,217,1461417.81445313,4499.99991698708
743,1508,35,3,0,32,16,40,297,29,295,1461417.81445313,4499.9999169848
744,1507,22,1,0,27,1,21,221,10,206,1461417.81494141,4499.99991698076
745,1458,8,7,4,16,4,10,188,14,228,1461417.81542969,4499.99991696255
746,1457,16,2,0,19,5,17,201,16,230,1461417.81494141,4499.99991697159
747,1533,32,2,4,32,37,42,364,31,343,1461417.81542969,4499.99991697015
748,1509,41,4,18,37,59,40,467,31,545,1461417.81494141,4499.99991698356
749,1459,55,11,21,52,81,48,427,40,496,1461417.81542969,4499.99991696483
750,1534,49,12,8,57,43,64,482,50,607,1461417.81494141,4499.99991700428
751,1484,38,6,16,48,63,44,430,23,538,1461417.81494141,4499.99991696753
752,1460,42,4,17,31,146,40,318,13,485,1461417.81542969,4499.99991696439
753,1536,18,3,8,16,32,24,140,15,182,1461417.81542969,4499.99991697015
754,1535,18,1,8,18,49,16,141,13,200,1461417.81494141,4499.99991697897
755,1486,24,3,17,26,37,16,119,9,169,1461417.81494141,4499.99991698787
756,1485,31,3,24,34,99,24,201,4,331,1461417.81445313,4499.99991698615
757,1461,27,5,27,25,77,33,174,8,259,1461417.81445313,4499.99991696025
758,1537,41,10,73,38,42,34,328,25,430,1461417.81494141,4499.99991695932
759,1512,19,0,18,12,10,14,111,17,143,1461417.81494141,4499.99991697787
760,1462,13,0,7,17,8,12,51,14,77,1461417.81542969,4499.99991697584
761,1538,31,12,67,31,48,37,416,27,508,1461417.81494141,4499.99991697787
762,1514,22,6,44,21,19,19,260,22,339,1461417.81445313,4499.99991697532
763,1513,26,6,123,34,78,32,298,26,524,1461417.81445313,4499.99991697304
764,1464,18,3,39,10,12,19,161,18,231,1461417.81542969,4499.99991698404
765,1463,28,14,140,23,85,15,232,3,437,1461417.81445313,4499.99991700421
766,1539,22,7,29,16,16,21,356,22,429,1461417.81494141,4499.99991696997
767,1515,19,4,42,18,26,20,335,23,386,1461417.81591797,4499.99991696221
768,1465,48,6,54,33,14,44,246,45,307,1461417.81445313,4499.99991698194
769,1540,14,12,75,24,14,11,230,14,339,1461417.81494141,4499.9999169887
770,1490,15,1,38,14,13,13,150,10,202,1461417.81494141,4499.99991699387
771,1466,8,2,53,7,9,17,131,12,233,1461417.81542969,4499.99991698098
772,1542,4,4,11,8,3,6,103,6,128,1461417.81494141,4499.99991698056
773,1541,7,9,10,3,3,8,85,7,105,1461417.81494141,4499.99991700115
774,1492,9,7,73,13,9,7,139,12,232,1461417.81542969,4499.99991698
775,1491,1,6,16,5,3,11,110,2,119,1461417.81542969,4499.99991699242
776,1467,5,4,22,7,1,7,94,7,129,1461417.81494141,4499.99991697963
777,1543,7,1,3,5,0,6,118,8,129,1461417.81494141,4499.99991698318
778,1493,11,4,95,19,7,14,182,11,276,1461417.81494141,4499.99991699228
779,1468,15,4,92,14,12,15,197,6,282,1461417.81494141,4499.99991697432
780,1544,3,1,8,6,3,5,89,7,96,1461417.81445313,4499.99991697142
781,1519,10,2,19,3,4,5,119,10,180,1461417.81494141,4499.99991698794
782,1469,12,3,72,8,4,19,153,14,239,1461417.81494141,4499.99991698532
783,1545,0,0,0,2,1,0,28,0,28,1461417.81494141,4499.99991697635
784,1521,2,1,0,4,0,1,29,1,30,1461417.81591797,4499.99991698083
785,1520,1,1,0,0,0,1,23,5,31,1461417.81494141,4499.99991697
786,1471,1,1,1,1,0,1,24,3,27,1461417.81445313,4499.99991698346
787,1470,2,0,0,2,0,3,35,2,40,1461417.81396484,4499.99991697922
788,1546,0,0,0,1,0,0,30,0,29,1461417.81542969,4499.99991700039
789,1646,2,1,0,3,1,2,25,0,30,1461417.81494141,4499.99991696966
790,1645,2,0,2,2,0,1,32,1,35,1461417.81494141,4499.99991698149
791,1621,4,3,2,1,0,1,20,2,39,1461418.18359375,4500.00048520834
792,1620,3,3,0,0,3,2,30,1,46,1461418.18359375,4500.00048522537
793,1571,0,0,1,1,0,1,33,2,26,1461417.81494141,4499.9999169859
794,1570,1,2,0,0,0,2,27,1,33,1461417.81542969,4499.99991698759
795,1619,7,2,0,11,0,7,120,12,128,1461418.18457031,4500.00048521658
796,1569,6,0,8,9,1,7,135,9,133,1461417.81445313,4499.99991699708
797,1643,7,5,5,6,0,7,110,7,135,1461417.81445313,4499.99991697701
798,1593,4,1,3,4,0,9,135,5,116,1461418.18408203,4500.00048521913
799,1568,10,4,0,8,2,7,99,5,108,1461417.81542969,4499.99991698421
800,1642,6,5,7,10,8,2,96,14,119,1461417.81494141,4499.99991698252
801,1641,9,5,95,14,11,11,139,18,263,1461417.81494141,4499.99991697177
802,1592,14,5,14,10,4,14,97,7,133,1461418.18359375,4500.00048521903
803,1591,4,3,28,6,6,4,100,3,120,1461418.18408203,4500.00048521692
804,1567,8,5,11,9,7,7,99,5,128,1461417.81445313,4499.99991700367
805,1640,10,8,56,8,7,5,170,6,223,1461417.81494141,4499.99991698532
806,1590,9,6,62,15,10,11,174,13,236,1461418.18408203,4500.0004852203
807,1566,14,13,102,11,13,13,110,14,217,1461417.81494141,4499.99991697887
808,1639,11,6,35,9,10,7,160,10,220,1461417.81445313,4499.99991697245
809,1615,2,4,26,6,13,10,193,6,226,1461418.18457031,4500.00048524834
810,1565,16,6,36,15,11,16,257,19,342,1461417.81445313,4499.99991699936
811,1638,8,4,22,15,7,8,186,5,234,1461417.81542969,4499.99991697532
812,1614,7,6,25,4,13,5,164,5,213,1461418.18408203,4500.00048522393
813,1613,32,7,46,40,34,38,283,33,379,1461418.18408203,4500.00048522868
814,1564,17,6,35,21,17,21,265,17,326,1461417.81445313,4499.99991699346
815,1563,62,8,66,57,58,54,373,56,573,1461417.81445313,4499.99991699588
816,1637,30,2,25,24,24,31,316,38,375,1461417.81494141,4499.99991697066
817,1587,21,1,17,22,22,23,198,28,252,1461418.18457031,4500.00048521996
818,1562,20,0,15,15,19,22,201,24,217,1461417.81494141,4499.99991698439
819,1636,17,4,17,19,26,16,177,18,224,1461417.81494141,4499.99991697356
820,1635,18,3,9,14,48,18,124,9,154,1461417.81494141,4499.99991699649
821,1586,9,7,15,18,31,5,144,14,214,1461418.18408203,4500.00048523782
822,1585,8,2,4,16,37,17,128,21,169,1461418.18408203,4500.00048522665
823,1561,10,2,7,10,42,7,113,13,173,1461417.81542969,4499.99991699732
824,1634,22,3,1,21,1,17,110,15,159,1461417.81542969,4499.99991696584
825,1584,63,7,9,48,43,42,476,53,548,1461418.18408203,4500.00048520785
826,1560,25,2,9,38,29,27,243,29,268,1461417.81445313,4499.99991698666
827,1633,16,6,2,12,7,15,151,23,142,1461417.81494141,4499.99991696728
828,1609,24,4,3,20,21,31,281,27,296,1461418.18359375,4500.00048522292
829,1559,39,7,2,38,37,30,469,39,510,1461417.81542969,4499.99991699928
830,1632,9,1,0,9,4,11,100,8,120,1461417.81396484,4499.99991697652
831,1608,27,3,0,23,7,19,188,19,200,1461418.18457031,4500.00048523572
832,1607,5,1,1,6,4,6,103,5,111,1461418.18408203,4500.00048522116
833,1558,14,10,3,21,4,22,195,19,209,1461417.81494141,4499.99991695925
834,1557,5,0,1,9,2,4,123,7,116,1461417.81445313,4499.99991698818
835,1631,7,1,1,3,2,4,95,10,96,1461417.81542969,4499.99991695594
836,1606,7,0,0,5,1,4,95,7,104,1461418.18457031,4500.00048522751
837,1556,9,0,0,5,2,3,89,6,93,1461417.81445313,4499.99991698649
838,1630,3,0,2,4,1,7,88,6,102,1461417.81494141,4499.99991696
839,1580,2,0,1,7,1,3,96,6,109,1461418.18408203,4500.00048523461
840,1555,8,1,0,7,2,4,102,5,127,1461417.81542969,4499.99991698456
841,1629,4,2,0,7,1,1,104,5,90,1461417.81445313,4499.99991697997
842,1628,2,0,0,8,4,6,121,1,108,1461417.81494141,4499.99991696314
843,1579,6,0,0,5,2,9,105,4,80,1461418.18408203,4500.00048522454
844,1578,6,0,1,2,0,5,93,7,96,1461418.18408203,4500.00048524206
845,1554,6,2,0,4,0,3,98,10,109,1461417.81542969,4499.99991698684
846,1577,8,1,0,3,1,3,63,7,57,1461418.18457031,4500.00048523378
847,1553,9,0,0,3,4,4,103,9,96,1461417.81542969,4499.99991699235
848,1653,3,2,0,10,3,6,108,8,105,1461417.81542969,4499.99991696108
849,1729,8,1,1,7,2,8,106,1,105,1461417.81542969,4499.99991699201
850,1728,3,0,1,5,1,2,89,4,87,1461417.81445313,4499.99991696804
851,1679,4,0,0,3,1,9,105,6,92,1461417.81494141,4499.99991697338
852,1678,8,1,0,9,2,9,95,9,134,1461417.81494141,4499.99991697787
853,1654,8,0,0,7,1,3,108,4,107,1461417.81445313,4499.99991698073
854,1730,3,0,1,6,1,5,89,4,70,1461417.81542969,4499.99991697108
855,1680,4,1,1,3,4,5,112,2,103,1461417.81494141,4499.99991700166
856,1655,10,0,0,7,0,7,87,7,115,1461417.81494141,4499.9999169888
857,1731,8,0,1,4,1,7,71,5,94,1461417.81494141,4499.99991697363
858,1706,4,0,0,9,3,5,105,5,110,1461417.81494141,4499.99991697532
859,1656,8,0,0,8,2,5,89,6,85,1461417.81445313,4499.99991698904
860,1708,6,0,1,1,3,3,21,4,33,1461417.81445313,4499.99991698777
861,1707,6,0,0,1,2,5,65,5,84,1461417.81494141,4499.99991698304
862,1658,16,1,0,18,3,18,99,11,106,1461417.81494141,4499.99991698811
863,1657,5,2,0,7,1,11,79,6,112,1461417.81542969,4499.99991697912
864,1733,3,0,0,2,0,2,32,3,39,1461417.81542969,4499.99991698904
865,1709,8,3,0,16,4,12,105,11,104,1461417.81494141,4499.99991698394
866,1659,13,1,0,6,4,12,127,20,130,1461417.81494141,4499.99991696635
867,1734,5,0,1,6,1,3,38,7,35,1461417.81494141,4499.99991700563
868,1684,16,2,0,17,7,11,106,10,130,1461417.81445313,4499.99991700159
869,1660,19,2,8,21,40,15,140,17,172,1461417.81445313,4499.99991697507
870,1736,4,1,1,2,6,5,62,4,76,1461417.81445313,4499.99991696408
871,1735,5,1,1,4,10,6,65,3,55,1461417.81494141,4499.99991697753
872,1686,17,6,4,17,19,13,170,18,227,1461417.81542969,4499.99991698742
873,1685,22,3,9,15,33,25,123,15,180,1461417.81494141,4499.99991699149
874,1661,6,2,8,7,37,11,126,8,142,1461417.81494141,4499.99991697821
875,1737,13,0,5,19,5,16,196,15,188,1461417.81494141,4499.99991696608
876,1687,36,3,14,36,25,39,336,38,379,1461417.81445313,4499.99991698211
877,1662,34,5,18,29,20,28,340,28,390,1461417.81494141,4499.9999169888
878,1738,16,0,3,15,5,15,162,18,159,1461417.81494141,4499.99991696635
879,1714,34,6,23,26,7,20,240,23,318,1461417.81494141,4499.99991698056
880,1713,25,1,7,23,12,24,241,26,300,1461417.81591797,4499.99991695601
881,1664,7,5,27,7,14,13,175,5,219,1461417.81494141,4499.99991698066
882,1663,22,1,18,26,21,30,330,33,402,1461417.81445313,4499.9999169987
883,1739,30,4,11,43,21,36,418,39,430,1461417.81445313,4499.99991699691
884,1715,22,1,20,17,13,21,265,24,257,1461417.81445313,4499.99991696625
885,1665,10,6,24,8,18,11,169,10,235,1461417.81542969,4499.99991696839
886,1740,13,4,0,20,5,19,144,15,133,1461417.81542969,4499.99991698446
887,1690,11,6,72,8,9,14,163,8,273,1461417.81445313,4499.99991696559
888,1666,14,5,115,19,12,13,129,8,268,1461417.81494141,4499.9999169788
889,1742,5,1,4,5,3,8,91,0,108,1461417.81542969,4499.99991697946
