OBJECTID,Input_FID,Americ_ESPop,Asian_Pop,Black_Pop,Hawn_PiPop,Hispanic,Multi_Race,WhitePop,Other_Pop,TotPop,Shape__Area,Shape__Length
264,365,5,12,56,7,13,7,74,6,133,1461417.81542969,4499.99991697164
265,339,5,12,24,6,37,3,88,3,165,1461417.81494141,4499.99991695251
266,512,8,3,6,9,18,10,75,8,92,1461417.81494141,4499.99991696368
267,487,12,6,52,12,32,9,107,14,177,1461417.81542969,4499.9999169837
268,514,8,10,31,5,20,8,206,4,278,1461417.81445313,4499.99991697113
269,513,13,2,58,11,29,9,110,8,198,1461417.81445313,4499.99991698421
270,464,7,13,21,10,32,6,138,3,215,1461417.81542969,4499.99991697252
271,463,5,5,41,2,34,9,127,9,194,1461417.81542969,4499.99991696432
272,438,9,12,13,15,28,5,116,3,175,1461417.81445313,4499.99991698346
273,515,5,5,33,6,8,7,161,7,189,1461417.81494141,4499.99991697444
274,465,3,14,50,2,12,4,59,9,139,1461417.81494141,4499.99991697875
275,439,6,6,25,6,28,3,111,2,172,1461417.81494141,4499.99991699544
276,516,6,8,32,6,8,10,159,9,205,1461417.81494141,4499.99991697083
277,490,4,17,39,8,22,7,90,8,151,1461417.81494141,4499.99991697782
278,440,5,21,40,4,11,5,67,5,142,1461417.81445313,4499.99991697385
279,517,3,5,21,3,3,4,143,4,172,1461417.81542969,4499.99991696816
280,492,4,16,43,3,10,3,152,3,206,1461417.81494141,4499.99991696304
281,491,5,4,33,6,21,5,83,6,169,1461417.81542969,4499.99991695868
282,442,3,4,34,0,9,4,124,3,211,1461417.81494141,4499.9999169984
283,441,5,9,47,4,9,5,71,9,133,1461417.81494141,4499.99991699747
284,518,5,6,26,4,2,3,152,2,162,1461417.81542969,4499.9999169823
285,493,6,4,35,1,5,2,142,2,204,1461417.81445313,4499.99991698527
286,443,1,9,30,3,4,2,138,3,160,1461417.81494141,4499.99991697101
287,519,6,4,15,4,7,6,130,2,190,1461417.81494141,4499.99991697782
288,469,3,5,34,3,10,2,146,4,183,1461417.81494141,4499.99991698247
289,444,6,11,20,3,7,11,54,3,96,1461417.81445313,4499.99991697804
290,520,4,9,9,6,5,2,163,5,170,1461417.81445313,4499.99991697468
291,470,5,10,22,11,6,8,55,5,81,1461417.81542969,4499.99991699404
292,445,4,7,11,8,3,7,57,7,92,1461417.81445313,4499.99991697723
293,522,6,4,17,4,5,8,138,7,150,1461417.81445313,4499.99991698404
294,523,7,4,23,10,10,9,122,8,140,1461417.81494141,4499.99991697939
295,497,6,5,17,7,3,4,54,5,77,1461417.81542969,4499.99991697096
296,524,5,12,14,9,2,1,81,4,116,1461417.81494141,4499.99991698625
297,498,7,4,17,10,4,10,52,10,101,1461417.81494141,4499.99991697015
298,624,8,12,14,13,2,9,124,11,138,1461418.18408203,4500.0004852441
299,598,8,14,53,8,12,8,159,20,241,1461418.18457031,4500.00048522368
300,548,15,6,31,13,16,15,102,15,144,1461417.81494141,4499.99991698025
301,623,16,21,83,16,40,7,292,20,432,1461418.18408203,4500.00048523729
302,597,18,7,42,17,12,11,127,13,176,1461418.18408203,4500.00048522403
303,547,18,2,31,14,7,17,90,12,141,1461417.81494141,4499.99991698142
304,622,4,3,20,8,3,13,152,3,189,1461418.18457031,4500.00048522606
305,572,3,2,13,5,7,4,153,8,164,1461417.81445313,4499.99991695408
306,621,7,5,15,5,2,2,154,7,164,1461418.18408203,4500.00048523648
307,620,5,8,8,6,3,4,156,4,169,1461418.18359375,4500.00048521158
308,571,5,2,6,3,1,1,145,2,162,1461417.81494141,4499.99991697625
309,570,4,3,14,1,0,3,144,4,173,1461417.81494141,4499.99991698409
310,545,3,3,19,5,2,3,146,2,175,1461417.81494141,4499.99991698968
311,619,5,2,24,2,3,1,153,5,178,1461418.18457031,4500.00048523525
312,569,3,4,16,4,2,4,154,3,166,1461417.81445313,4499.99991695937
313,544,8,2,15,3,1,6,161,5,187,1461417.81494141,4499.99991698787
314,618,1,2,13,2,2,6,148,2,188,1461418.18457031,4500.00048522822
315,593,10,1,18,6,6,5,135,3,151,1461418.18359375,4500.00048523118
316,543,4,2,14,8,6,2,157,3,172,1461417.81542969,4499.99991698189
